,date,et0_fao_evapotranspiration_sum
111,1950-04-22 00:00:00+00:00,3.0897684
112,1950-04-23 00:00:00+00:00,2.994443
113,1950-04-24 00:00:00+00:00,2.4048805
114,1950-04-25 00:00:00+00:00,2.5427208
115,1950-04-26 00:00:00+00:00,3.014047
116,1950-04-27 00:00:00+00:00,4.031434
117,1950-04-28 00:00:00+00:00,4.310435
118,1950-04-29 00:00:00+00:00,4.8441615
119,1950-04-30 00:00:00+00:00,4.6607614
120,1950-05-01 00:00:00+00:00,4.0836797
121,1950-05-02 00:00:00+00:00,3.6848645
122,1950-05-03 00:00:00+00:00,4.132149
123,1950-05-04 00:00:00+00:00,3.8561833
124,1950-05-05 00:00:00+00:00,3.3939958
125,1950-05-06 00:00:00+00:00,3.4162924
126,1950-05-07 00:00:00+00:00,2.9967754
127,1950-05-08 00:00:00+00:00,2.3712335
128,1950-05-09 00:00:00+00:00,2.4853423
129,1950-05-10 00:00:00+00:00,2.1277807
130,1950-05-11 00:00:00+00:00,2.5553648
131,1950-05-12 00:00:00+00:00,3.649298
132,1950-05-13 00:00:00+00:00,4.6220574
133,1950-05-14 00:00:00+00:00,4.311454
134,1950-05-15 00:00:00+00:00,3.8110533
135,1950-05-16 00:00:00+00:00,3.5427318
136,1950-05-17 00:00:00+00:00,4.5457997
137,1950-05-18 00:00:00+00:00,4.7310443
138,1950-05-19 00:00:00+00:00,3.9108062
139,1950-05-20 00:00:00+00:00,3.1502934
140,1950-05-21 00:00:00+00:00,1.8014426
141,1950-05-22 00:00:00+00:00,4.021378
142,1950-05-23 00:00:00+00:00,4.572334
143,1950-05-24 00:00:00+00:00,4.0293603
144,1950-05-25 00:00:00+00:00,4.3896112
145,1950-05-26 00:00:00+00:00,4.853288
146,1950-05-27 00:00:00+00:00,4.929485
147,1950-05-28 00:00:00+00:00,4.8610725
148,1950-05-29 00:00:00+00:00,5.157422
149,1950-05-30 00:00:00+00:00,5.211188
150,1950-05-31 00:00:00+00:00,5.542929
151,1950-06-01 00:00:00+00:00,5.2509656
152,1950-06-02 00:00:00+00:00,5.623832
153,1950-06-03 00:00:00+00:00,6.0729017
154,1950-06-04 00:00:00+00:00,5.913871
155,1950-06-05 00:00:00+00:00,5.5729313
156,1950-06-06 00:00:00+00:00,4.2917647
157,1950-06-07 00:00:00+00:00,4.6129856
158,1950-06-08 00:00:00+00:00,4.4009132
159,1950-06-09 00:00:00+00:00,5.1398554
160,1950-06-10 00:00:00+00:00,5.3134894
161,1950-06-11 00:00:00+00:00,5.4181542
