,date,temperature_2m_min
111,1950-04-22 00:00:00+00:00,3.2919981
112,1950-04-23 00:00:00+00:00,5.1906767
113,1950-04-24 00:00:00+00:00,7.2893553
114,1950-04-25 00:00:00+00:00,7.2380342
115,1950-04-26 00:00:00+00:00,4.9867125
116,1950-04-27 00:00:00+00:00,6.9353914
117,1950-04-28 00:00:00+00:00,8.23407
118,1950-04-29 00:00:00+00:00,8.832749
119,1950-04-30 00:00:00+00:00,10.681428
120,1950-05-01 00:00:00+00:00,11.730106
121,1950-05-02 00:00:00+00:00,12.678785
122,1950-05-03 00:00:00+00:00,10.924556
123,1950-05-04 00:00:00+00:00,12.811598
124,1950-05-05 00:00:00+00:00,9.998641
125,1950-05-06 00:00:00+00:00,8.685683
126,1950-05-07 00:00:00+00:00,8.322725
127,1950-05-08 00:00:00+00:00,9.059768
128,1950-05-09 00:00:00+00:00,7.6968107
129,1950-05-10 00:00:00+00:00,7.883854
130,1950-05-11 00:00:00+00:00,7.4208956
131,1950-05-12 00:00:00+00:00,5.357939
132,1950-05-13 00:00:00+00:00,7.094981
133,1950-05-14 00:00:00+00:00,11.882024
134,1950-05-15 00:00:00+00:00,13.169066
135,1950-05-16 00:00:00+00:00,10.956108
136,1950-05-17 00:00:00+00:00,9.793152
137,1950-05-18 00:00:00+00:00,9.130195
138,1950-05-19 00:00:00+00:00,10.9672365
139,1950-05-20 00:00:00+00:00,10.854279
140,1950-05-21 00:00:00+00:00,5.1913214
141,1950-05-22 00:00:00+00:00,3.478364
142,1950-05-23 00:00:00+00:00,7.615407
143,1950-05-24 00:00:00+00:00,10.10245
144,1950-05-25 00:00:00+00:00,11.039492
145,1950-05-26 00:00:00+00:00,11.876534
146,1950-05-27 00:00:00+00:00,11.813578
147,1950-05-28 00:00:00+00:00,13.25062
148,1950-05-29 00:00:00+00:00,12.737662
149,1950-05-30 00:00:00+00:00,13.374705
150,1950-05-31 00:00:00+00:00,14.061748
151,1950-06-01 00:00:00+00:00,13.9487915
152,1950-06-02 00:00:00+00:00,12.435834
153,1950-06-03 00:00:00+00:00,14.272875
154,1950-06-04 00:00:00+00:00,16.109917
155,1950-06-05 00:00:00+00:00,16.29696
156,1950-06-06 00:00:00+00:00,14.234003
157,1950-06-07 00:00:00+00:00,12.571046
158,1950-06-08 00:00:00+00:00,12.558088
159,1950-06-09 00:00:00+00:00,11.245131
160,1950-06-10 00:00:00+00:00,11.482174
161,1950-06-11 00:00:00+00:00,11.669215
162,1950-06-12 00:00:00+00:00,12.106259
163,1950-06-13 00:00:00+00:00,14.493302
164,1950-06-14 00:00:00+00:00,12.880343
165,1950-06-15 00:00:00+00:00,14.617386
166,1950-06-16 00:00:00+00:00,14.654428
167,1950-06-17 00:00:00+00:00,13.591472
168,1950-06-18 00:00:00+00:00,16.378513
169,1950-06-19 00:00:00+00:00,15.765557
170,1950-06-20 00:00:00+00:00,17.602598
171,1950-06-21 00:00:00+00:00,18.88964
172,1950-06-22 00:00:00+00:00,21.026684
173,1950-06-23 00:00:00+00:00,20.413725
174,1950-06-24 00:00:00+00:00,20.400768
175,1950-06-25 00:00:00+00:00,19.187813
176,1950-06-26 00:00:00+00:00,17.974854
177,1950-06-27 00:00:00+00:00,14.211897
178,1950-06-28 00:00:00+00:00,12.64894
179,1950-06-29 00:00:00+00:00,14.8859825
180,1950-06-30 00:00:00+00:00,16.223024
181,1950-07-01 00:00:00+00:00,14.610068
182,1950-07-02 00:00:00+00:00,14.44711
183,1950-07-03 00:00:00+00:00,17.99071
184,1950-07-04 00:00:00+00:00,15.945236
185,1950-07-05 00:00:00+00:00,18.049763
186,1950-07-06 00:00:00+00:00,20.704292
187,1950-07-07 00:00:00+00:00,21.60882
188,1950-07-08 00:00:00+00:00,22.813347
189,1950-07-09 00:00:00+00:00,21.117874
190,1950-07-10 00:00:00+00:00,22.122402
191,1950-07-11 00:00:00+00:00,20.62693
192,1950-07-12 00:00:00+00:00,19.081455
193,1950-07-13 00:00:00+00:00,19.685984
194,1950-07-14 00:00:00+00:00,20.340511
195,1950-07-15 00:00:00+00:00,20.445038
196,1950-07-16 00:00:00+00:00,19.749567
197,1950-07-17 00:00:00+00:00,18.054096
198,1950-07-18 00:00:00+00:00,17.258623
199,1950-07-19 00:00:00+00:00,17.563148
200,1950-07-20 00:00:00+00:00,15.367679
201,1950-07-21 00:00:00+00:00,16.322205
202,1950-07-22 00:00:00+00:00,18.876732
203,1950-07-23 00:00:00+00:00,19.831259
204,1950-07-24 00:00:00+00:00,22.485786
205,1950-07-25 00:00:00+00:00,22.190315
206,1950-07-26 00:00:00+00:00,22.844843
207,1950-07-27 00:00:00+00:00,22.799372
208,1950-07-28 00:00:00+00:00,21.803898
209,1950-07-29 00:00:00+00:00,20.908424
210,1950-07-30 00:00:00+00:00,22.712952
211,1950-07-31 00:00:00+00:00,21.51748
212,1950-08-01 00:00:00+00:00,21.672009
213,1950-08-02 00:00:00+00:00,21.726536
214,1950-08-03 00:00:00+00:00,21.331062
215,1950-08-04 00:00:00+00:00,23.035591
216,1950-08-05 00:00:00+00:00,22.840118
217,1950-08-06 00:00:00+00:00,22.444643
218,1950-08-07 00:00:00+00:00,22.199173
219,1950-08-08 00:00:00+00:00,22.9037
220,1950-08-09 00:00:00+00:00,23.70823
221,1950-08-10 00:00:00+00:00,22.312756
222,1950-08-11 00:00:00+00:00,21.917282
223,1950-08-12 00:00:00+00:00,22.12181
224,1950-08-13 00:00:00+00:00,24.27634
225,1950-08-14 00:00:00+00:00,24.280867
226,1950-08-15 00:00:00+00:00,22.885395
227,1950-08-16 00:00:00+00:00,22.58992
228,1950-08-17 00:00:00+00:00,21.844448
229,1950-08-18 00:00:00+00:00,21.248976
230,1950-08-19 00:00:00+00:00,19.903505
231,1950-08-20 00:00:00+00:00,21.508032
232,1950-08-21 00:00:00+00:00,21.012558
233,1950-08-22 00:00:00+00:00,21.767086
234,1950-08-23 00:00:00+00:00,21.371613
235,1950-08-24 00:00:00+00:00,20.27614
236,1950-08-25 00:00:00+00:00,19.630669
237,1950-08-26 00:00:00+00:00,18.535198
238,1950-08-27 00:00:00+00:00,19.489723
239,1950-08-28 00:00:00+00:00,19.54425
240,1950-08-29 00:00:00+00:00,18.698778
241,1950-08-30 00:00:00+00:00,16.853308
242,1950-08-31 00:00:00+00:00,16.607836
243,1950-09-01 00:00:00+00:00,17.862362
244,1950-09-02 00:00:00+00:00,17.368498
245,1950-09-03 00:00:00+00:00,15.426238
246,1950-09-04 00:00:00+00:00,16.383978
247,1950-09-05 00:00:00+00:00,18.291718
248,1950-09-06 00:00:00+00:00,15.849459
249,1950-09-07 00:00:00+00:00,15.757199
250,1950-09-08 00:00:00+00:00,16.46494
251,1950-09-09 00:00:00+00:00,17.97268
252,1950-09-10 00:00:00+00:00,18.98042
253,1950-09-11 00:00:00+00:00,17.73816
254,1950-09-12 00:00:00+00:00,15.5959015
255,1950-09-13 00:00:00+00:00,15.353642
256,1950-09-14 00:00:00+00:00,12.811384
257,1950-09-15 00:00:00+00:00,10.019124
258,1950-09-16 00:00:00+00:00,10.926866
259,1950-09-17 00:00:00+00:00,13.034605
260,1950-09-18 00:00:00+00:00,16.242346
