,date,temperature_2m_max
115,1950-04-26 00:00:00+00:00,15.952792
116,1950-04-27 00:00:00+00:00,17.298422
117,1950-04-28 00:00:00+00:00,20.594051
118,1950-04-29 00:00:00+00:00,23.08968
119,1950-04-30 00:00:00+00:00,23.535313
120,1950-05-01 00:00:00+00:00,23.280943
121,1950-05-02 00:00:00+00:00,22.226574
122,1950-05-03 00:00:00+00:00,20.971514
123,1950-05-04 00:00:00+00:00,20.464378
124,1950-05-05 00:00:00+00:00,20.407244
125,1950-05-06 00:00:00+00:00,17.90011
126,1950-05-07 00:00:00+00:00,16.742977
127,1950-05-08 00:00:00+00:00,15.185844
128,1950-05-09 00:00:00+00:00,14.178711
129,1950-05-10 00:00:00+00:00,11.921576
130,1950-05-11 00:00:00+00:00,14.46444
131,1950-05-12 00:00:00+00:00,17.007309
132,1950-05-13 00:00:00+00:00,20.150173
133,1950-05-14 00:00:00+00:00,20.943039
134,1950-05-15 00:00:00+00:00,20.935904
135,1950-05-16 00:00:00+00:00,20.228771
136,1950-05-17 00:00:00+00:00,20.921638
137,1950-05-18 00:00:00+00:00,21.164503
138,1950-05-19 00:00:00+00:00,20.75737
139,1950-05-20 00:00:00+00:00,17.700235
140,1950-05-21 00:00:00+00:00,11.893102
141,1950-05-22 00:00:00+00:00,17.885967
142,1950-05-23 00:00:00+00:00,22.328833
143,1950-05-24 00:00:00+00:00,22.0217
144,1950-05-25 00:00:00+00:00,22.864565
145,1950-05-26 00:00:00+00:00,23.80743
146,1950-05-27 00:00:00+00:00,25.100296
147,1950-05-28 00:00:00+00:00,26.193165
148,1950-05-29 00:00:00+00:00,26.68603
149,1950-05-30 00:00:00+00:00,27.828897
150,1950-05-31 00:00:00+00:00,28.171762
151,1950-06-01 00:00:00+00:00,26.364628
152,1950-06-02 00:00:00+00:00,28.707495
153,1950-06-03 00:00:00+00:00,30.700357
154,1950-06-04 00:00:00+00:00,30.193224
155,1950-06-05 00:00:00+00:00,27.236094
156,1950-06-06 00:00:00+00:00,24.728956
157,1950-06-07 00:00:00+00:00,23.371824
158,1950-06-08 00:00:00+00:00,22.614689
159,1950-06-09 00:00:00+00:00,24.307554
160,1950-06-10 00:00:00+00:00,25.250423
161,1950-06-11 00:00:00+00:00,26.443287
162,1950-06-12 00:00:00+00:00,27.936155
163,1950-06-13 00:00:00+00:00,26.47902
164,1950-06-14 00:00:00+00:00,25.271885
165,1950-06-15 00:00:00+00:00,27.314754
166,1950-06-16 00:00:00+00:00,27.257618
167,1950-06-17 00:00:00+00:00,31.750484
168,1950-06-18 00:00:00+00:00,32.543354
169,1950-06-19 00:00:00+00:00,32.18622
170,1950-06-20 00:00:00+00:00,33.379086
171,1950-06-21 00:00:00+00:00,34.32195
172,1950-06-22 00:00:00+00:00,35.664814
173,1950-06-23 00:00:00+00:00,35.65768
