,date,temperature_2m_mean
113,1950-04-24 00:00:00+00:00,10.433598
114,1950-04-25 00:00:00+00:00,10.677764
115,1950-04-26 00:00:00+00:00,10.821932
116,1950-04-27 00:00:00+00:00,12.916101
117,1950-04-28 00:00:00+00:00,15.66027
118,1950-04-29 00:00:00+00:00,17.204437
119,1950-04-30 00:00:00+00:00,17.998604
120,1950-05-01 00:00:00+00:00,18.39277
121,1950-05-02 00:00:00+00:00,17.336939
122,1950-05-03 00:00:00+00:00,16.03008
123,1950-05-04 00:00:00+00:00,16.270144
124,1950-05-05 00:00:00+00:00,16.110209
125,1950-05-06 00:00:00+00:00,13.450272
126,1950-05-07 00:00:00+00:00,12.190334
127,1950-05-08 00:00:00+00:00,10.9304
128,1950-05-09 00:00:00+00:00,9.820463
129,1950-05-10 00:00:00+00:00,9.510526
130,1950-05-11 00:00:00+00:00,10.90059
131,1950-05-12 00:00:00+00:00,11.490653
132,1950-05-13 00:00:00+00:00,14.980717
133,1950-05-14 00:00:00+00:00,17.57078
134,1950-05-15 00:00:00+00:00,17.210844
135,1950-05-16 00:00:00+00:00,14.450906
136,1950-05-17 00:00:00+00:00,15.44097
137,1950-05-18 00:00:00+00:00,15.831033
138,1950-05-19 00:00:00+00:00,15.921096
139,1950-05-20 00:00:00+00:00,13.711162
140,1950-05-21 00:00:00+00:00,9.251223
141,1950-05-22 00:00:00+00:00,11.7912855
142,1950-05-23 00:00:00+00:00,16.08135
143,1950-05-24 00:00:00+00:00,16.771414
144,1950-05-25 00:00:00+00:00,16.661478
145,1950-05-26 00:00:00+00:00,17.95154
146,1950-05-27 00:00:00+00:00,19.491604
147,1950-05-28 00:00:00+00:00,20.281668
148,1950-05-29 00:00:00+00:00,20.32173
149,1950-05-30 00:00:00+00:00,21.661793
150,1950-05-31 00:00:00+00:00,21.801857
151,1950-06-01 00:00:00+00:00,20.341919
152,1950-06-02 00:00:00+00:00,21.531982
153,1950-06-03 00:00:00+00:00,24.072046
154,1950-06-04 00:00:00+00:00,23.81211
155,1950-06-05 00:00:00+00:00,21.752174
156,1950-06-06 00:00:00+00:00,18.842237
157,1950-06-07 00:00:00+00:00,17.882301
158,1950-06-08 00:00:00+00:00,17.072365
159,1950-06-09 00:00:00+00:00,18.012426
160,1950-06-10 00:00:00+00:00,18.90249
161,1950-06-11 00:00:00+00:00,19.542555
162,1950-06-12 00:00:00+00:00,21.132618
163,1950-06-13 00:00:00+00:00,20.472681
164,1950-06-14 00:00:00+00:00,19.362745
165,1950-06-15 00:00:00+00:00,21.35281
166,1950-06-16 00:00:00+00:00,21.092873
