,date,soil_moisture_0_to_10cm_mean
111,1950-04-22 00:00:00+00:00,0.2753746
112,1950-04-23 00:00:00+00:00,0.26987508
113,1950-04-24 00:00:00+00:00,0.2823756
114,1950-04-25 00:00:00+00:00,0.3258761
115,1950-04-26 00:00:00+00:00,0.3193766
116,1950-04-27 00:00:00+00:00,0.30087703
117,1950-04-28 00:00:00+00:00,0.28537756
118,1950-04-29 00:00:00+00:00,0.27087805
119,1950-04-30 00:00:00+00:00,0.25837857
120,1950-05-01 00:00:00+00:00,0.24987905
121,1950-05-02 00:00:00+00:00,0.24737954
122,1950-05-03 00:00:00+00:00,0.23861882
123,1950-05-04 00:00:00+00:00,0.23107445
124,1950-05-05 00:00:00+00:00,0.22753009
125,1950-05-06 00:00:00+00:00,0.22998573
126,1950-05-07 00:00:00+00:00,0.22844139
127,1950-05-08 00:00:00+00:00,0.245897
128,1950-05-09 00:00:00+00:00,0.27035263
129,1950-05-10 00:00:00+00:00,0.3058083
130,1950-05-11 00:00:00+00:00,0.32826394
131,1950-05-12 00:00:00+00:00,0.30671957
132,1950-05-13 00:00:00+00:00,0.28517517
133,1950-05-14 00:00:00+00:00,0.26763085
134,1950-05-15 00:00:00+00:00,0.25708646
135,1950-05-16 00:00:00+00:00,0.25654215
136,1950-05-17 00:00:00+00:00,0.2519977
137,1950-05-18 00:00:00+00:00,0.23745339
138,1950-05-19 00:00:00+00:00,0.22690901
139,1950-05-20 00:00:00+00:00,0.22436465
140,1950-05-21 00:00:00+00:00,0.2908203
141,1950-05-22 00:00:00+00:00,0.28327593
142,1950-05-23 00:00:00+00:00,0.26273155
143,1950-05-24 00:00:00+00:00,0.25018722
144,1950-05-25 00:00:00+00:00,0.25564286
145,1950-05-26 00:00:00+00:00,0.2620985
146,1950-05-27 00:00:00+00:00,0.24455412
147,1950-05-28 00:00:00+00:00,0.22900978
148,1950-05-29 00:00:00+00:00,0.21546541
149,1950-05-30 00:00:00+00:00,0.20392103
150,1950-05-31 00:00:00+00:00,0.19537668
151,1950-06-01 00:00:00+00:00,0.18883233
152,1950-06-02 00:00:00+00:00,0.18428797
153,1950-06-03 00:00:00+00:00,0.17974359
154,1950-06-04 00:00:00+00:00,0.17619923
155,1950-06-05 00:00:00+00:00,0.17365485
156,1950-06-06 00:00:00+00:00,0.17311051
157,1950-06-07 00:00:00+00:00,0.17256615
158,1950-06-08 00:00:00+00:00,0.17002179
159,1950-06-09 00:00:00+00:00,0.16847742
160,1950-06-10 00:00:00+00:00,0.16693304
161,1950-06-11 00:00:00+00:00,0.1653887
162,1950-06-12 00:00:00+00:00,0.16384433
