,date,snowfall_sum
119,1950-04-30 00:00:00+00:00,0.0
120,1950-05-01 00:00:00+00:00,0.0
121,1950-05-02 00:00:00+00:00,0.0
122,1950-05-03 00:00:00+00:00,0.0
123,1950-05-04 00:00:00+00:00,0.0
124,1950-05-05 00:00:00+00:00,0.0
125,1950-05-06 00:00:00+00:00,0.0
126,1950-05-07 00:00:00+00:00,0.0
127,1950-05-08 00:00:00+00:00,0.0
128,1950-05-09 00:00:00+00:00,0.0
129,1950-05-10 00:00:00+00:00,0.0
130,1950-05-11 00:00:00+00:00,0.0
131,1950-05-12 00:00:00+00:00,0.0
132,1950-05-13 00:00:00+00:00,0.0
133,1950-05-14 00:00:00+00:00,0.0
134,1950-05-15 00:00:00+00:00,0.0
135,1950-05-16 00:00:00+00:00,0.0
136,1950-05-17 00:00:00+00:00,0.0
137,1950-05-18 00:00:00+00:00,0.0
138,1950-05-19 00:00:00+00:00,0.0
139,1950-05-20 00:00:00+00:00,0.0
140,1950-05-21 00:00:00+00:00,0.0
141,1950-05-22 00:00:00+00:00,0.0
142,1950-05-23 00:00:00+00:00,0.0
143,1950-05-24 00:00:00+00:00,0.0
144,1950-05-25 00:00:00+00:00,0.0
145,1950-05-26 00:00:00+00:00,0.0
146,1950-05-27 00:00:00+00:00,0.0
147,1950-05-28 00:00:00+00:00,0.0
148,1950-05-29 00:00:00+00:00,0.0
149,1950-05-30 00:00:00+00:00,0.0
150,1950-05-31 00:00:00+00:00,0.0
151,1950-06-01 00:00:00+00:00,0.0
152,1950-06-02 00:00:00+00:00,0.0
153,1950-06-03 00:00:00+00:00,0.0
154,1950-06-04 00:00:00+00:00,0.0
155,1950-06-05 00:00:00+00:00,0.0
156,1950-06-06 00:00:00+00:00,0.0
157,1950-06-07 00:00:00+00:00,0.0
158,1950-06-08 00:00:00+00:00,0.0
159,1950-06-09 00:00:00+00:00,0.0
160,1950-06-10 00:00:00+00:00,0.0
161,1950-06-11 00:00:00+00:00,0.0
162,1950-06-12 00:00:00+00:00,0.0
163,1950-06-13 00:00:00+00:00,0.0
164,1950-06-14 00:00:00+00:00,0.0
165,1950-06-15 00:00:00+00:00,0.0
166,1950-06-16 00:00:00+00:00,0.0
167,1950-06-17 00:00:00+00:00,0.0
168,1950-06-18 00:00:00+00:00,0.0
169,1950-06-19 00:00:00+00:00,0.0
170,1950-06-20 00:00:00+00:00,0.0
171,1950-06-21 00:00:00+00:00,0.0
172,1950-06-22 00:00:00+00:00,0.0
173,1950-06-23 00:00:00+00:00,0.0
174,1950-06-24 00:00:00+00:00,0.0
175,1950-06-25 00:00:00+00:00,0.0
176,1950-06-26 00:00:00+00:00,0.0
177,1950-06-27 00:00:00+00:00,0.0
178,1950-06-28 00:00:00+00:00,0.0
179,1950-06-29 00:00:00+00:00,0.0
180,1950-06-30 00:00:00+00:00,0.0
181,1950-07-01 00:00:00+00:00,0.0
182,1950-07-02 00:00:00+00:00,0.0
183,1950-07-03 00:00:00+00:00,0.0
184,1950-07-04 00:00:00+00:00,0.0
185,1950-07-05 00:00:00+00:00,0.0
186,1950-07-06 00:00:00+00:00,0.0
187,1950-07-07 00:00:00+00:00,0.0
188,1950-07-08 00:00:00+00:00,0.0
189,1950-07-09 00:00:00+00:00,0.0
190,1950-07-10 00:00:00+00:00,0.0
191,1950-07-11 00:00:00+00:00,0.0
192,1950-07-12 00:00:00+00:00,0.0
193,1950-07-13 00:00:00+00:00,0.0
194,1950-07-14 00:00:00+00:00,0.0
195,1950-07-15 00:00:00+00:00,0.0
196,1950-07-16 00:00:00+00:00,0.0
197,1950-07-17 00:00:00+00:00,0.0
198,1950-07-18 00:00:00+00:00,0.0
199,1950-07-19 00:00:00+00:00,0.0
200,1950-07-20 00:00:00+00:00,0.0
201,1950-07-21 00:00:00+00:00,0.0
202,1950-07-22 00:00:00+00:00,0.0
203,1950-07-23 00:00:00+00:00,0.0
204,1950-07-24 00:00:00+00:00,0.0
205,1950-07-25 00:00:00+00:00,0.0
206,1950-07-26 00:00:00+00:00,0.0
207,1950-07-27 00:00:00+00:00,0.0
208,1950-07-28 00:00:00+00:00,0.0
209,1950-07-29 00:00:00+00:00,0.0
210,1950-07-30 00:00:00+00:00,0.0
211,1950-07-31 00:00:00+00:00,0.0
212,1950-08-01 00:00:00+00:00,0.0
213,1950-08-02 00:00:00+00:00,0.0
214,1950-08-03 00:00:00+00:00,0.0
215,1950-08-04 00:00:00+00:00,0.0
216,1950-08-05 00:00:00+00:00,0.0
217,1950-08-06 00:00:00+00:00,0.0
218,1950-08-07 00:00:00+00:00,0.0
219,1950-08-08 00:00:00+00:00,0.0
220,1950-08-09 00:00:00+00:00,0.0
221,1950-08-10 00:00:00+00:00,0.0
222,1950-08-11 00:00:00+00:00,0.0
223,1950-08-12 00:00:00+00:00,0.0
224,1950-08-13 00:00:00+00:00,0.0
225,1950-08-14 00:00:00+00:00,0.0
226,1950-08-15 00:00:00+00:00,0.0
227,1950-08-16 00:00:00+00:00,0.0
228,1950-08-17 00:00:00+00:00,0.0
229,1950-08-18 00:00:00+00:00,0.0
230,1950-08-19 00:00:00+00:00,0.0
231,1950-08-20 00:00:00+00:00,0.0
232,1950-08-21 00:00:00+00:00,0.0
233,1950-08-22 00:00:00+00:00,0.0
234,1950-08-23 00:00:00+00:00,0.0
235,1950-08-24 00:00:00+00:00,0.0
236,1950-08-25 00:00:00+00:00,0.0
237,1950-08-26 00:00:00+00:00,0.0
238,1950-08-27 00:00:00+00:00,0.0
239,1950-08-28 00:00:00+00:00,0.0
240,1950-08-29 00:00:00+00:00,0.0
241,1950-08-30 00:00:00+00:00,0.0
242,1950-08-31 00:00:00+00:00,0.0
243,1950-09-01 00:00:00+00:00,0.0
244,1950-09-02 00:00:00+00:00,0.0
245,1950-09-03 00:00:00+00:00,0.0
246,1950-09-04 00:00:00+00:00,0.0
247,1950-09-05 00:00:00+00:00,0.0
248,1950-09-06 00:00:00+00:00,0.0
249,1950-09-07 00:00:00+00:00,0.0
250,1950-09-08 00:00:00+00:00,0.0
251,1950-09-09 00:00:00+00:00,0.0
252,1950-09-10 00:00:00+00:00,0.0
253,1950-09-11 00:00:00+00:00,0.0
254,1950-09-12 00:00:00+00:00,0.0
255,1950-09-13 00:00:00+00:00,0.0
256,1950-09-14 00:00:00+00:00,0.0
257,1950-09-15 00:00:00+00:00,0.0
258,1950-09-16 00:00:00+00:00,0.0
259,1950-09-17 00:00:00+00:00,0.0
260,1950-09-18 00:00:00+00:00,0.0
261,1950-09-19 00:00:00+00:00,0.0
262,1950-09-20 00:00:00+00:00,0.0
263,1950-09-21 00:00:00+00:00,0.0
264,1950-09-22 00:00:00+00:00,0.0
265,1950-09-23 00:00:00+00:00,0.0
266,1950-09-24 00:00:00+00:00,0.0
267,1950-09-25 00:00:00+00:00,0.0
268,1950-09-26 00:00:00+00:00,0.0
269,1950-09-27 00:00:00+00:00,0.0
270,1950-09-28 00:00:00+00:00,0.0
271,1950-09-29 00:00:00+00:00,0.0
272,1950-09-30 00:00:00+00:00,0.0
273,1950-10-01 00:00:00+00:00,0.0
274,1950-10-02 00:00:00+00:00,0.0
275,1950-10-03 00:00:00+00:00,0.0
276,1950-10-04 00:00:00+00:00,0.0
277,1950-10-05 00:00:00+00:00,0.0
278,1950-10-06 00:00:00+00:00,0.0
279,1950-10-07 00:00:00+00:00,0.0
280,1950-10-08 00:00:00+00:00,0.0
281,1950-10-09 00:00:00+00:00,0.0
282,1950-10-10 00:00:00+00:00,0.0
283,1950-10-11 00:00:00+00:00,0.0
284,1950-10-12 00:00:00+00:00,0.0
285,1950-10-13 00:00:00+00:00,0.0
286,1950-10-14 00:00:00+00:00,0.0
287,1950-10-15 00:00:00+00:00,0.0
288,1950-10-16 00:00:00+00:00,0.0
289,1950-10-17 00:00:00+00:00,0.0
290,1950-10-18 00:00:00+00:00,0.0
291,1950-10-19 00:00:00+00:00,0.0
292,1950-10-20 00:00:00+00:00,0.0
293,1950-10-21 00:00:00+00:00,0.0
294,1950-10-22 00:00:00+00:00,0.0
295,1950-10-23 00:00:00+00:00,0.0
296,1950-10-24 00:00:00+00:00,0.0
297,1950-10-25 00:00:00+00:00,0.0
298,1950-10-26 00:00:00+00:00,0.0
299,1950-10-27 00:00:00+00:00,0.0
300,1950-10-28 00:00:00+00:00,0.0
301,1950-10-29 00:00:00+00:00,0.0
302,1950-10-30 00:00:00+00:00,0.0
303,1950-10-31 00:00:00+00:00,0.0
304,1950-11-01 00:00:00+00:00,0.0
305,1950-11-02 00:00:00+00:00,0.0
306,1950-11-03 00:00:00+00:00,0.0
307,1950-11-04 00:00:00+00:00,0.0
308,1950-11-05 00:00:00+00:00,0.0
309,1950-11-06 00:00:00+00:00,0.0
310,1950-11-07 00:00:00+00:00,0.0
311,1950-11-08 00:00:00+00:00,0.0
312,1950-11-09 00:00:00+00:00,0.0
313,1950-11-10 00:00:00+00:00,0.0
314,1950-11-11 00:00:00+00:00,0.0
315,1950-11-12 00:00:00+00:00,0.0
316,1950-11-13 00:00:00+00:00,0.0
317,1950-11-14 00:00:00+00:00,0.0
318,1950-11-15 00:00:00+00:00,0.0
319,1950-11-16 00:00:00+00:00,0.0
320,1950-11-17 00:00:00+00:00,0.0
321,1950-11-18 00:00:00+00:00,0.0
322,1950-11-19 00:00:00+00:00,0.0
323,1950-11-20 00:00:00+00:00,0.0
324,1950-11-21 00:00:00+00:00,0.0
325,1950-11-22 00:00:00+00:00,0.0
326,1950-11-23 00:00:00+00:00,0.0
327,1950-11-24 00:00:00+00:00,0.0
328,1950-11-25 00:00:00+00:00,0.0
329,1950-11-26 00:00:00+00:00,0.0
330,1950-11-27 00:00:00+00:00,0.0
331,1950-11-28 00:00:00+00:00,0.0
332,1950-11-29 00:00:00+00:00,0.0
333,1950-11-30 00:00:00+00:00,0.0
334,1950-12-01 00:00:00+00:00,0.0
335,1950-12-02 00:00:00+00:00,0.0
336,1950-12-03 00:00:00+00:00,0.0
337,1950-12-04 00:00:00+00:00,0.0
338,1950-12-05 00:00:00+00:00,0.0
339,1950-12-06 00:00:00+00:00,0.0
340,1950-12-07 00:00:00+00:00,0.0
341,1950-12-08 00:00:00+00:00,0.0
342,1950-12-09 00:00:00+00:00,0.0
343,1950-12-10 00:00:00+00:00,0.0
344,1950-12-11 00:00:00+00:00,0.0
345,1950-12-12 00:00:00+00:00,0.0
346,1950-12-13 00:00:00+00:00,0.0
347,1950-12-14 00:00:00+00:00,0.0
348,1950-12-15 00:00:00+00:00,8.488748
349,1950-12-16 00:00:00+00:00,0.0
350,1950-12-17 00:00:00+00:00,0.0
351,1950-12-18 00:00:00+00:00,0.0
352,1950-12-19 00:00:00+00:00,3.3481135
353,1950-12-20 00:00:00+00:00,0.0
354,1950-12-21 00:00:00+00:00,0.0
355,1950-12-22 00:00:00+00:00,0.0
356,1950-12-23 00:00:00+00:00,0.0
357,1950-12-24 00:00:00+00:00,0.0
358,1950-12-25 00:00:00+00:00,0.0
359,1950-12-26 00:00:00+00:00,0.0
360,1950-12-27 00:00:00+00:00,0.0
361,1950-12-28 00:00:00+00:00,0.0
362,1950-12-29 00:00:00+00:00,0.0
363,1950-12-30 00:00:00+00:00,6.212588
364,1950-12-31 00:00:00+00:00,1.3897643
365,1951-01-01 00:00:00+00:00,0.08175693
366,1951-01-02 00:00:00+00:00,0.0
367,1951-01-03 00:00:00+00:00,0.0
368,1951-01-04 00:00:00+00:00,0.0
369,1951-01-05 00:00:00+00:00,0.0
370,1951-01-06 00:00:00+00:00,0.0
371,1951-01-07 00:00:00+00:00,0.0
372,1951-01-08 00:00:00+00:00,0.0
373,1951-01-09 00:00:00+00:00,0.0
374,1951-01-10 00:00:00+00:00,0.0
375,1951-01-11 00:00:00+00:00,0.0
376,1951-01-12 00:00:00+00:00,0.0
377,1951-01-13 00:00:00+00:00,1.997738
378,1951-01-14 00:00:00+00:00,6.503325
379,1951-01-15 00:00:00+00:00,0.08351469
380,1951-01-16 00:00:00+00:00,0.0
381,1951-01-17 00:00:00+00:00,0.0
382,1951-01-18 00:00:00+00:00,0.0
383,1951-01-19 00:00:00+00:00,0.0
384,1951-01-20 00:00:00+00:00,11.624806
